slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
optimism-superchain-faucet,,!offer:optimism-superchain-faucet,,testnet,,,,,,,"[""Provides testnet ETH for all OP Chains, including Mode""]",,
thirdweb-faucet,,!offer:thirdweb-faucet,"[""[Faucet](https://thirdweb.com/mode-testnet)""]",testnet,,,,,,,"[""Drips 0.01 testnet ETH every 24 hours without bridging""]",,
