slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mode,,!offer:api3,"[""[Docs](https://docs.api3.org)""]",mainnet,,,,,,,,,,,,
pyth-mode,,!offer:pyth,"[""[Docs](https://docs.pyth.network)""]",mainnet,,,,,,,,,,,,
redstone-mode,,!offer:redstone,"[""[Docs](https://docs.redstone.finance)""]",mainnet,,,,,,,,,,,,
