slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,price,starred,requiredMainnetBalance,dripLimitAmount,dripLimitPeriod,additionalNotes,tag
alchemy-calibnet,,!offer:alchemy-faucet,,calibnet,,,,,,,,,
beryx-faucet,Beryx,,"[""[Get tokens](https://beryx.io/faucet)""]",calibnet,FALSE,FALSE,$0,FALSE,,,,,
chainsafe-faucet,ChainSafe,,"[""[Get tokens](https://faucet.calibnet.chainsafe-fil.io/funds.html)""]",calibnet,FALSE,FALSE,$0,FALSE,,,,,
chainstack-calibnet,,!offer:chainstack-faucet,,calibnet,,,,,,,,,
circle-usdc-calibnet,,!offer:circle-faucet-usdc,,calibnet,,,,,,,,,
getblock-calibnet,,!offer:getblock-faucet,,calibnet,,,,,,,,,
ghost-calibnet,,!offer:ghost-faucet,,calibnet,,,,,,,,,
google-cloud-calibnet,,!offer:google-cloud-faucet,,calibnet,,,,,,,,,
infura-calibnet,,!offer:infura-faucet,,calibnet,,,,,,,,,
pk910-calibnet,,!offer:pk910-faucet,,calibnet,,,,,,,,,
quicknode-calibnet,,!offer:quicknode-faucet,,calibnet,,,,,,,,,
stakely-calibnet,,!offer:stakely-faucet,,calibnet,,,,,,,,,
tatum-calibnet,,!offer:tatum-faucet,,calibnet,,,,,,,,,
