slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
pyth-calibnet,,!offer:pyth,"[""[FIL/USD](https://app.pyth.com/explore/Crypto.FIL%2FUSD)"",""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)"",""[Contract](https://calibration.filfox.info/en/address/0xA2aa501b19aff244D90cc15a4Cf739D2725B5729)""]",calibnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[FIL/USD](https://app.pyth.com/explore/Crypto.FIL%2FUSD)"",""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)"",""[Contract](https://filfox.info/en/address/0xA2aa501b19aff244D90cc15a4Cf739D2725B5729)""]",mainnet,,,,,,,,,,,,
scry-protocol-mainnet,,!offer:scry-protocol,,mainnet,,,,,,,,,,,,
stork-calibnet,,!offer:stork,"[""[Docs](https://docs.stork.network/resources/contract-addresses/evm)"",""[Contract](https://calibration.filfox.info/en/address/0xacC0a0cF13571d30B4b8637996F5D6D774d4fd62)""]",calibnet,,,,,,,,,,,,
tellor-calibnet,,!offer:tellor,"[""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)"",""[Docs](https://docs.tellor.io/)"",""[Contract](https://calibration.filfox.info/en/address/0xb2CB696fE5244fB9004877e58dcB680cB86Ba444)""]",calibnet,,,,,,"[""Asset Prices"",""Storage provider reputation""]",,,,,,
tellor-mainnet,,!offer:tellor,"[""[Filecoin Docs](https://docs.filecoin.io/build-on-filecoin/advanced/oracles)"",""[Docs](https://docs.tellor.io/)"",""[Contract](https://filfox.info/en/address/0xb2CB696fE5244fB9004877e58dcB680cB86Ba444)""]",mainnet,,,,,,"[""Asset Prices"",""Storage provider reputation""]",,,,,,
