slug,provider,chain,requiresLogin,hasCaptcha,requiresMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,actionButtons
infura-linea-faucet,Infura,sepolia,TRUE,TRUE,null,Free,null,null,null,TRUE,"[{'label':'Get tokens','url':'https://www.infura.io/faucet/linea','type':'external'}]"
getblock-linea-faucet,GetBlock,sepolia,FALSE,TRUE,null,Free,null,null,null,TRUE,"[{'label':'Get tokens','url':'https://getblock.io/faucet/linea-sepolia/','type':'external'}]"
circle-linea-faucet,Circle,sepolia,FALSE,TRUE,null,Free,null,null,null,FALSE,"[{'label':'Get tokens','url':'https://faucet.circle.com/','type':'external'}]"
alchemy-linea-faucet,Alchemy,sepolia,TRUE,TRUE,null,Free,null,null,null,FALSE,"[{'label':'Get tokens','url':'https://www.alchemy.com/faucets/ethereum-sepolia','type':'external'}]"
chainlink-linea-faucet,Chainlink,sepolia,TRUE,TRUE,null,Free,null,null,null,TRUE,"[{'label':'Get tokens','url':'https://faucets.chain.link/linea-sepolia','type':'external'}]"
hackquest-linea-faucet,Hackquest,sepolia,TRUE,TRUE,null,Free,null,null,null,FALSE,"[{'label':'Get tokens','url':'https://www.hackquest.io/faucets/59141','type':'external'}]"
