slug,provider,offer,actionButtons,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
alchemy-linea-faucet,Alchemy,,[[Get tokens](https://www.alchemy.com/faucets/ethereum-sepolia)""],true,true,,Free,false,,,,
chainlink-linea-faucet,Chainlink,,[[Get tokens](https://faucets.chain.link/linea-sepolia)""],true,true,,Free,true,,,,
circle-linea-faucet,Circle,,[[Get tokens](https://faucet.circle.com/)""],false,true,,Free,false,,,,
getblock-linea-faucet,GetBlock,,[[Get tokens](https://getblock.io/faucet/)""],false,true,,Free,true,,,,
hackquest-linea-faucet,Hackquest,,[[Get tokens](https://www.hackquest.io/faucets/59141)""],true,true,,Free,false,,,,
infura-linea-faucet,Infura,,[[Get tokens](https://www.infura.io/zh/faucet/linea)""],true,true,,Free,true,,,,
