slug,provider,offer,actionButtons,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-mainnet,,!offer:across,,,,,,,,,,,,,,,,,,,
debridge-mainnet,,!offer:debridge,,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,,,,,,,,,,,,,,,,,,
lifi-mainnet,,!offer:lifi,,,,,,,,,,,,,,,,,,,
linea-native-mainnet,!provider:linea,,"""[[Bridge](https://linea.build/hub/bridge)"""," [Docs](https://docs.linea.build/get-started/how-to/bridge)""""]",Cross-chain Messaging,,,false,"[""""Discord""""]",true,"[""""Asset Transfer""""]","[""""Blockscout","Custom Dashboards""""]","[""""Fast Bridging","Ethereum Security""""]","[""""ERC-20""""]",Gas Fee,true,Inherits Ethereum L1 security,"[""""Audit by ConsenSys"," 2023""""]"
linea-native-sepolia,!provider:linea,,"""[[Bridge](https://linea.build/hub/bridge)"""," [Docs](https://docs.linea.build/get-started/how-to/bridge)""""]",Cross-chain Messaging,,,false,"[""""Discord""""]",true,"[""""Asset Transfer""""]","[""""Blockscout","Custom Dashboards""""]","[""""Fast Bridging","Ethereum Security""""]","[""""ERC-20""""]",Gas Fee,true,Inherits Ethereum L1 security,"[""""Audit by ConsenSys"," 2023""""]"
orbiter-mainnet,,!offer:orbiter,,,,,,,,,,,,,,,,,,,
rango-mainnet,,!offer:rango,,,,,,,,,,,,,,,,,,,
rhino-mainnet,,!offer:rhinofi,,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,,,,,,,,,,,,,,,,,,
wormhole-mainnet,,!offer:wormhole,,,,,,,,,,,,,,,,,,,
zkbridge-mainnet,,!offer:zkbridge,,,,,,,,,,,,,,,,,,,
