slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
artemis-mainnet,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/linea?tab=overview)""]",mainnet,,,,,,,,,
cookie3-mainnet,Cookie3,,"[""[Dashboard](https://app.cookie3.co/)""]",mainnet,"[""Onchain Analytics"",""KOL Engagement"",""User Journey"",""Wallet Interactions"",""Campaign Tracking""]",TRUE,,,"$749/$299/$749/mo (monthly plan), $674/$269/$674/mo (quarterly plan), $599/$249/$599/mo (yearly plan)",,Tiered,FALSE,
defillama-mainnet,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/linea)""]",mainnet,,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/linea)""]",mainnet,,,,,,,,,
dune-linea-mainnet,,!offer:dune,"[""[Dashboard](https://dune.com/linea/linea-overview)""]",mainnet,,,,,,,,,
growthepie-mainnet,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/linea)""]",mainnet,,,,,,,,,
l2beat-mainnet,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/linea)""]",mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/linea)""]",mainnet,,,,,,,,,
tokenmetrics-alpha,,!offer:tokenmetrics-alpha,,mainnet,,,,,,,,,
tokenmetrics-free,,!offer:tokenmetrics-free,,mainnet,,,,,,,,,
tokenmetrics-signal,,!offer:tokenmetrics-signal,,mainnet,,,,,,,,,
tokenmetrics-the-roundable,,!offer:tokenmetrics-the-roundable,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/linea)""]",mainnet,,,,,,,,,
