organization,repository,external_url,status,status_date,outreacher,comment
ethereum,ethereum/ethereum-org-website,https://github.com/ethereum/ethereum-org-website/issues/19270,submitted,2026-09-13,Adisaok,"External issue submitted and awaiting maintainer triage."
ava-labs,ava-labs/builders-hub,https://github.com/ava-labs/builders-hub/pull/4542,submitted,2026-09-15,Adisaok,"External PR submitted and awaiting maintainer review."
near,near/docs,,blocked,2026-09-16,Adisaok,"Validated patch ready; external PR creation is restricted to repository collaborators, and issue creation is also restricted. Awaiting an approved maintainer-mediated submission path."
DROOdotFOO,awesome-web3-data,https://github.com/DROOdotFOO/awesome-web3-data/pull/32,submitted,2026-09-23,Adisaok,"External PR #32 submitted and awaiting maintainer review."
