slug,provider,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred
airgap,AirGap,"[""[Website](https://airgap.it/)""]",TRUE,"[""iOS"",""Android"",""Desktop""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""discord""]","[""Dolden""]","[""EN"",""DE"",""ZH""]",FALSE
atomic-wallet,!provider:atomic-wallet,,,,,,,,,,,,,,,,,,
bitget-wallet,Bitget Wallet,"[""[Website](https://web3.bitget.com/)""]",FALSE,"[""iOS"",""Android"",""Browser Extension""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""discord"",""email""]","[""Certik"",""SlowMist""]","[""EN"",""ZH"",""JA"",""KO"",""VI"",""DE"",""FR"",""TR""]",FALSE
ellipal,!provider:ellipal,,,,,,,,,,,,,,,,,,
exodus,!provider:exodus,,,,,,,,,,,,,,,,,,
kukai,Kukai,"[""[Website](https://wallet.kukai.app/)""]",TRUE,"[""Web"",""iOS""]",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""email""]","[""Least Authority""]","[""EN""]",FALSE
ledger,!provider:ledger,,,,,,,,,,,,,,,,,,
safepal,!provider:safepal,,,,,,,,,,,,,,,,,,
tangem,!provider:tangem,,,,,,,,,,,,,,,,,,
temple,Temple-Wallet,"[""[Website](https://templewallet.com/)""]",TRUE,"[""Browser Extension"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""telegram"",""discord""]","[""Least Authority""]","[""EN"",""RU"",""ZH"",""FR"",""TR"",""UK""]",TRUE
trustwallet,!provider:trustwallet,,,,,,,,,,,,,,,,,,
umami,Umami,"[""[Website](https://umamiwallet.com/)""]",TRUE,"[""Desktop"",""iOS"",""Android""]",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"[""XTZ"",""FA1.2"",""FA2""]",TRUE,$0,"[""discord""]","[""Include Security""]","[""EN""]",FALSE
zengo,!provider:zengo,,,,,,,,,,,,,,,,,,
