slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
bitbond-token-tool-enterprise,,!offer:bitbond-token-tool-enterprise,,,,,,,,
bitbond-token-tool-pay-as-you-go,,!offer:bitbond-token-tool-pay-as-you-go,,,,,,,,
chain-ide,,!offer:chain-ide,,,,,,,,
chainlink-ccip,,!offer:chainlink-ccip,,,,,,,,
coinsdo,,!offer:coinsdo,,,,,,,,
crossmint-enterprise,,!offer:crossmint-enterprise,,,,,,,,
crossmint-free,,!offer:crossmint-free,,,,,,,,
datacurve-enterprise,,!offer:datacurve-enterprise,,,,,,,,
reown-free,,!offer:reown-free,,,,,,,,
reown-pro,,!offer:reown-pro,,,,,,,,
reown-enterprise,,!offer:reown-enterprise,,,,,,,,
soroban-cli,Soroban CLI,,"[""[Docs](https://github.com/stellar/stellar-cli)""]",CLI,"[""CLI"",""Soroban""]",$0 ,,Free,"CLI for developing, testing, and deploying Soroban smart contracts",FALSE
stellar-laboratory,Stellar Laboratory,,"[""[Docs](https://lab.stellar.org/)""]",Testing Environment,"[""Testing"",""Horizon"",""Soroban""]",$0 ,,Free,"Web tool for testing transactions, accounts, and Soroban contracts",FALSE
