slug,provider,offer,actionButtons,chain,toolType,programmingLanguage,tag,description,planType,planName,price,trial,starred,dependencies,latestKnownVersion,latestKnownReleaseDate,maintainer,license
anyalt,,!offer:anyalt,,mainnet,,,,,,,,,,,,,,
stellar-sdk-csharp,Stellar,,"[""[Docs](https://github.com/Beans-BV/dotnet-stellar-sdk)""]",mainnet,SDK,C#,"[""Horizon""]",".NET SDK for interacting with Horizon, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-flutter,Stellar,,"[""[Docs](https://github.com/Soneso/stellar_flutter_sdk)""]",mainnet,SDK,TBD,"[""Flutter"",""Horizon"",""Soroban""]","Open-source SDK for Flutter, supports Horizon and Soroban, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-go,Stellar,,"[""[Docs](https://github.com/stellar/go)""]",mainnet,SDK,Go,"[""Horizon"",""Soroban""]","Go SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-ios-mac,Stellar,,"[""[Docs](https://github.com/Soneso/stellar-ios-mac-sdk)""]",mainnet,SDK,TBD,"[""iOS"",""macOS"",""Horizon"",""Soroban""]","Open-source SDK for iOS/macOS, supports Horizon and Soroban, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-java,Stellar,,"[""[Docs](https://github.com/lightsail-network/java-stellar-sdk)""]",mainnet,SDK,Java,"[""Horizon"",""Soroban""]","Java SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-js,Stellar,,"[""[Docs](https://github.com/stellar/js-stellar-sdk)""]",mainnet,SDK,JavaScript,"[""Horizon"",""Soroban""]","JavaScript SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-py,Stellar,,"[""[Docs](https://github.com/StellarCN/py-stellar-base)""]",mainnet,SDK,Python,"[""Horizon"",""Soroban""]","Python SDK for building transactions, accounts, and Soroban contracts",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-ruby,Stellar,,"[""[Docs](https://github.com/astroband/ruby-stellar-sdk)""]",mainnet,SDK,TBD,"[""Ruby"",""Horizon""]","Ruby SDK for building transactions and connecting to Horizon, community-maintained",Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
stellar-sdk-rust,Stellar,,"[""[Docs](https://github.com/stellar/rs-soroban-sdk)""]",mainnet,SDK,Rust,"[""Soroban""]",Rust SDK for developing and deploying Soroban smart contracts,Free,,$0 ,FALSE,FALSE,,TBD,TBD,TBD,TBD
tatum-sdk-free,,!offer:tatum-sdk-free,,mainnet,,,,,,,,,,,,,,
tatum-sdk-pro,,!offer:tatum-sdk-pro,,mainnet,,,,,,,,,,,,,,
tatum-sdk-scale,,!offer:tatum-sdk-scale,,mainnet,,,,,,,,,,,,,,
tatum-sdk-starter,,!offer:tatum-sdk-starter,,mainnet,,,,,,,,,,,,,,
