tag,description,aliases,deprecated,replacedBy
.algo names,Canonical search tag for .algo names,,FALSE,
.NET,Canonical search tag for .NET,,FALSE,
0xcert,Canonical search tag for 0xcert,,FALSE,
AA,Canonical search tag for AA,,FALSE,
Aarc,Canonical search tag for Aarc,,FALSE,
ABI,Canonical search tag for ABI,,FALSE,
ABI decoding,Canonical search tag for ABI decoding,,FALSE,
ABI encoding,Canonical search tag for ABI encoding,,FALSE,
ABI Extraction,Canonical search tag for ABI Extraction,,FALSE,
ABI tools,Canonical search tag for ABI tools,,FALSE,
ABI types,Canonical search tag for ABI types,,FALSE,
AbstractJS SDK,Canonical search tag for AbstractJS SDK,,FALSE,
Account Abstraction,Canonical search tag for Account Abstraction,"[""account abstraction""]",FALSE,
Account management,Canonical search tag for Account management,,FALSE,
Accounts,Canonical search tag for Accounts,,FALSE,
Across,Canonical search tag for Across,,FALSE,
address-data,Canonical search tag for address-data,,FALSE,
address-history,Canonical search tag for address-history,,FALSE,
Addresses,Canonical search tag for Addresses,,FALSE,
Advanced API,Canonical search tag for Advanced API,,FALSE,
Adversarial Simulation,Canonical search tag for Adversarial Simulation,,FALSE,
Adversarial Testing,Canonical search tag for Adversarial Testing,,FALSE,
agent kit,Canonical search tag for agent kit,,FALSE,
Agentic Security Analysis,Canonical search tag for Agentic Security Analysis,,FALSE,
AgentKit,Canonical search tag for AgentKit,,FALSE,
Aggregation,Canonical search tag for Aggregation,,FALSE,
AI,Canonical search tag for AI,,FALSE,
AI agents,Canonical search tag for AI agents,"[""AI Agents""]",FALSE,
AI Orchestration Tools,Canonical search tag for AI Orchestration Tools,,FALSE,
AI platform,Canonical search tag for AI platform,,FALSE,
AI Processing,Canonical search tag for AI Processing,,FALSE,
AI Security,Canonical search tag for AI Security,,FALSE,
Airdrop tool,Canonical search tag for Airdrop tool,,FALSE,
Algo amount handling,Canonical search tag for Algo amount handling,,FALSE,
Algo transfers,Canonical search tag for Algo transfers,,FALSE,
Algorand,Canonical search tag for Algorand,,FALSE,
AML,Canonical search tag for AML,,FALSE,
AMM,Canonical search tag for AMM,,FALSE,
Analysis,Canonical search tag for Analysis,,FALSE,
Analytics,Canonical search tag for Analytics,"[""analytics""]",FALSE,
Android,Canonical search tag for Android,,FALSE,
Ankr.js SDK,Canonical search tag for Ankr.js SDK,,FALSE,
Ankr.py SDK,Canonical search tag for Ankr.py SDK,,FALSE,
Anti-Phishing,Canonical search tag for Anti-Phishing,,FALSE,
Anti-scam solutions,Canonical search tag for Anti-scam solutions,,FALSE,
API,Canonical search tag for API,,FALSE,
API development,Canonical search tag for API development,,FALSE,
API documentation tool,Canonical search tag for API documentation tool,,FALSE,
API integration,Canonical search tag for API integration,,FALSE,
API Security,Canonical search tag for API Security,,FALSE,
APIs,Canonical search tag for APIs,,FALSE,
App deployment,Canonical search tag for App deployment,,FALSE,
App management,Canonical search tag for App management,,FALSE,
AppKit,Canonical search tag for AppKit,,FALSE,
Application Development Tools,Canonical search tag for Application Development Tools,,FALSE,
Application Security,Canonical search tag for Application Security,,FALSE,
Approval Management,Canonical search tag for Approval Management,,FALSE,
ARC-0032 Application Spec client,Canonical search tag for ARC-0032 Application Spec client,,FALSE,
ARC-32,Canonical search tag for ARC-32,,FALSE,
ARC-56,Canonical search tag for ARC-56,,FALSE,
Architecture Review,Canonical search tag for Architecture Review,,FALSE,
Arweave,Canonical search tag for Arweave,,FALSE,
ASA,Canonical search tag for ASA,,FALSE,
Assemble EVM instructions,Canonical search tag for Assemble EVM instructions,,FALSE,
Assertion library,Canonical search tag for Assertion library,,FALSE,
assertions,Canonical search tag for assertions,,FALSE,
Authentication,Canonical search tag for Authentication,"[""authentication""]",FALSE,
Auto-Scaling,Canonical search tag for Auto-Scaling,,FALSE,
Automated Auditing,Canonical search tag for Automated Auditing,,FALSE,
Automated Response,Canonical search tag for Automated Response,,FALSE,
Automated testing,Canonical search tag for Automated testing,,FALSE,
automation,Canonical search tag for automation,,FALSE,
Avalanche,Canonical search tag for Avalanche,,FALSE,
AVM,Canonical search tag for AVM,,FALSE,
AVS operators,Canonical search tag for AVS operators,,FALSE,
AxelarJS SDK,Canonical search tag for AxelarJS SDK,,FALSE,
Backend SDK,Canonical search tag for Backend SDK,,FALSE,
Banxa,Canonical search tag for Banxa,,FALSE,
Base,Canonical search tag for Base,,FALSE,
Batch transactions,Canonical search tag for Batch transactions,,FALSE,
beacon chain,Canonical search tag for beacon chain,,FALSE,
Beaconcha.in,Canonical search tag for Beaconcha.in,,FALSE,
benchmarking,Canonical search tag for benchmarking,,FALSE,
Berachain,Canonical search tag for Berachain,,FALSE,
Biconomy,Canonical search tag for Biconomy,,FALSE,
Bitcoin,Canonical search tag for Bitcoin,,FALSE,
BitGo,Canonical search tag for BitGo,,FALSE,
Blaze,Canonical search tag for Blaze,,FALSE,
block explorer,Canonical search tag for block explorer,,FALSE,
Block Processing,Canonical search tag for Block Processing,,FALSE,
Blockchain,Canonical search tag for Blockchain,,FALSE,
Blockchain API,Canonical search tag for Blockchain API,,FALSE,
Blockchain APIs,Canonical search tag for Blockchain APIs,"[""blockchain APIs""]",FALSE,
Blockchain Application Starter Kit,Canonical search tag for Blockchain Application Starter Kit,,FALSE,
Blockchain Audit,Canonical search tag for Blockchain Audit,,FALSE,
Blockchain automation,Canonical search tag for Blockchain automation,,FALSE,
Blockchain Consulting,Canonical search tag for Blockchain Consulting,,FALSE,
blockchain data,Canonical search tag for blockchain data,"[""Blockchain data""]",FALSE,
Blockchain data analytics,Canonical search tag for Blockchain data analytics,,FALSE,
Blockchain Data API,Canonical search tag for Blockchain Data API,,FALSE,
Blockchain data extraction,Canonical search tag for Blockchain data extraction,,FALSE,
Blockchain developer tools,Canonical search tag for Blockchain developer tools,"[""Blockchain Developer Tools""]",FALSE,
Blockchain development,Canonical search tag for Blockchain development,,FALSE,
Blockchain Development Kit,Canonical search tag for Blockchain Development Kit,,FALSE,
Blockchain development tools,Canonical search tag for Blockchain development tools,,FALSE,
Blockchain DevOps,Canonical search tag for Blockchain DevOps,,FALSE,
Blockchain documentation,Canonical search tag for Blockchain documentation,,FALSE,
blockchain forensics,Canonical search tag for blockchain forensics,,FALSE,
Blockchain game development,Canonical search tag for Blockchain game development,,FALSE,
Blockchain Gaming,Canonical search tag for Blockchain Gaming,,FALSE,
Blockchain infrastructure,Canonical search tag for Blockchain infrastructure,,FALSE,
Blockchain interoperability,Canonical search tag for Blockchain interoperability,,FALSE,
Blockchain Monitoring,Canonical search tag for Blockchain Monitoring,,FALSE,
Blockchain nodes,Canonical search tag for Blockchain nodes,"[""blockchain nodes""]",FALSE,
Blockchain payment solution,Canonical search tag for Blockchain payment solution,,FALSE,
Blockchain Protocol,Canonical search tag for Blockchain Protocol,,FALSE,
Blockchain security,Canonical search tag for Blockchain security,"[""Blockchain Security""]",FALSE,
Blockchain Security Tools,Canonical search tag for Blockchain Security Tools,,FALSE,
Blockchain signature tools,Canonical search tag for Blockchain signature tools,,FALSE,
Blockchain transaction analysis,Canonical search tag for Blockchain transaction analysis,,FALSE,
Blockchain transactions,Canonical search tag for Blockchain transactions,,FALSE,
Blockdaemon,Canonical search tag for Blockdaemon,,FALSE,
Blockscout,Canonical search tag for Blockscout,,FALSE,
BlockVision,Canonical search tag for BlockVision,,FALSE,
