slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
flareexplorer-coston,,!offer:flareexplorer,"[""[Explore](https://coston-explorer.flare.network/)""]",coston,,,,FALSE,,,,,,,
flareexplorer-coston2,,!offer:flareexplorer,"[""[Explore](https://coston2-explorer.flare.network/)""]",coston2,,,,FALSE,,,,,,,
flareexplorer-mainnet,,!offer:flareexplorer,"[""[Explore](https://flare-explorer.flare.network/)""]",mainnet,,,,TRUE,,,,,,,
flareexplorer-songbird,,!offer:flareexplorer,"[""[Explore](https://songbird-explorer.flare.network/)""]",songbird,,,,FALSE,,,,,,,
flarescan-coston,,!offer:flarescan,"[""[Explore](https://coston.testnet.flarescan.com/)""]",coston,,,,FALSE,,,,,,,
flarescan-coston2,,!offer:flarescan,"[""[Explore](https://coston2.testnet.flarescan.com/)""]",coston2,,,,FALSE,,,,,,,
flarescan-mainnet,,!offer:flarescan,"[""[Explore](https://mainnet.flarescan.com/)""]",mainnet,,,,TRUE,,,,,,,
flarescan-songbird,,!offer:flarescan,"[""[Explore](https://songbird.flarescan.com/)""]",songbird,,,,FALSE,,,,,,,
flaresystems-mainnet,,!offer:flaresystems,"[""[Explore](https://flare-systems-explorer.flare.network/)""]",mainnet,,,,TRUE,,,,,,,
flaresystems-songbird,,!offer:flaresystems,"[""[Explore](https://songbird-systems-explorer.flare.network/)""]",songbird,,,,FALSE,,,,,,,
