slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,authenticationMethods,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla,networkSupportBasis
ankr-coston-free,14,,!offer:ankr-free-recent-state,,,,,,,,coston,,,,,,,,,,,,,,,,,,,,
ankr-coston2-free,14,,!offer:ankr-free-recent-state,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
ankr-mainnet-free,14,,!offer:ankr-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go,14,,!offer:ankr-pay-as-you-go-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,14,,!offer:blockeden-basic-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,14,,!offer:blockeden-enterprise-50-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-recent-state,14,,!offer:blockeden-enterprise-500-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-recent-state,14,,!offer:blockeden-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-recent-state,14,,!offer:blockeden-pro-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
dipdup-mainnet-free-indexer,14,,!offer:dipdup-free-indexer,"[""[Website](https://dipdup.io/)"",""[Docs](https://dipdup.io/docs/supported-networks/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-free-indexer,14,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go-indexer,14,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
envio-songbird-free-indexer,14,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,,,,songbird,,,,,,,,,,,,,,,,,,,,
envio-songbird-pay-as-you-go-indexer,14,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/flare-songbird)""]",,,,,,,songbird,,,,,,,,,,,,,,,,,,,,
flare-coston-public,14,Flare,,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,,coston,$0,$0,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,,,null,null,null,null,null,null,,
flare-coston2-public,14,Flare,,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,,coston2,$0,$0,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,,,null,null,null,null,null,null,,
flare-mainnet-public,14,Flare,,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,,mainnet,$0,$0,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,,,null,null,null,null,null,null,,
flare-songbird-public,14,Flare,,"[""[Docs](https://dev.flare.network/network/overview)""]",,Free,Pruned,RPC,EVM JSON-RPC,,songbird,$0,$0,TRUE,FALSE,"[""eth"",""web3"",""net""]","[""~1K req/min""]","[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,,,null,null,null,null,null,null,,
getblock-mainnet-advanced-full-archive,14,,!offer:getblock-advanced-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,14,,!offer:getblock-advanced-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,14,,!offer:getblock-dedicated-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,14,,!offer:getblock-dedicated-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,14,,!offer:getblock-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-full-archive,14,,!offer:getblock-pro-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,14,,!offer:getblock-pro-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-full-archive,14,,!offer:getblock-starter-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-recent-state,14,,!offer:getblock-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-coston2-free-indexer,14,,!offer:goldsky-free-indexer,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
goldsky-coston2-pay-as-you-go-indexer,14,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,14,,!offer:goldsky-free-indexer,"[""[Website](https://app.goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,14,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/chains/flare#indexing-flare-with-goldsky)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-business-recent-state,14,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,14,,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/nodes/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,14,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,14,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/flare-flr)"",""[Docs](https://nownodes.io/nodes/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,14,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/flare)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-full-archive,14,,!offer:quicknode-accelerate-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-recent-state,14,,!offer:quicknode-accelerate-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-full-archive,14,,!offer:quicknode-build-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,14,,!offer:quicknode-build-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-full-archive,14,,!offer:quicknode-business-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-recent-state,14,,!offer:quicknode-business-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-full-archive,14,,!offer:quicknode-scale-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,14,,!offer:quicknode-scale-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-accelerate-full-archive,14,,!offer:quicknode-accelerate-full-archive,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-accelerate-recent-state,14,,!offer:quicknode-accelerate-recent-state,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-build-full-archive,14,,!offer:quicknode-build-full-archive,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-build-recent-state,14,,!offer:quicknode-build-recent-state,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-business-full-archive,14,,!offer:quicknode-business-full-archive,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-business-recent-state,14,,!offer:quicknode-business-recent-state,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-scale-full-archive,14,,!offer:quicknode-scale-full-archive,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
quicknode-testnet-scale-recent-state,14,,!offer:quicknode-scale-recent-state,,,,,,,,coston2,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-free-indexer,14,,!offer:sqd-free-indexer,"[""[Website](https://www.sqd.ai/)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
sqd-mainnet-pay-as-you-go-indexer,14,,!offer:sqd-pay-as-you-go-indexer,"[""[Buy](https://docs.sqd.ai/cloud/pricing/#pay-as-you-go-prices)"",""[Docs](https://docs.sqd.ai/subsquid-network/reference/networks/#evm--ethereum-compatible)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go-indexer,14,,!offer:subquery-pay-as-you-go-indexer,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#creating-a-flex-plan)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/flare.html)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
tatum-coston-free-recent-state,14,,!offer:tatum-free-recent-state,"[""[Website](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-flare)""]",,,,,,,coston,,,,,,,,,,,,,,,,,,,,
