slug,provider,offer,actionButtons,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
chainstack-faucet,,!offer:chainstack-faucet,["[Faucet](https://faucet.chainstack.com/solana-devnet-faucet)""],,,0.08 SOL,,,,Up to 1 SOL,,
ghost-faucet,,!offer:ghost-faucet,["[Faucet](https://ghostchain.io/faucet/solana-testnet/)""],,,,,,,0.01 SOL,,
quicknode-faucet,,!offer:quicknode-faucet,["[Faucet](https://faucet.quicknode.com/solana/devnet)""],,,0.05 SOL,,,,0.05 SOL,,
solana-devnet-faucet,Solana,,["[Faucet](https://faucet.solana.com/)""],TRUE,TRUE,,$0,FALSE,[""Requires GitHub authentification","Maximum 2 requests per 8 hours""],0.5/1/2.5/5 SOL,8h,
