slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
multiversx-wallet-faucet-devnet,,!offer:multiversx-wallet-faucet,"[""[Faucet](https://devnet-wallet.multiversx.com)""]",devnet,,,,,,,,,
multiversx-wallet-faucet-testnet,,!offer:multiversx-wallet-faucet,"[""[Faucet](https://testnet-wallet.multiversx.com)""]",testnet,,,,,,,,,
