slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,tag
multiversx-explorer-devnet,,!offer:multiversx-explorer,"[""[Explore](https://devnet-explorer.multiversx.com)""]",devnet,,,,,,,,,,,
multiversx-explorer-mainnet,,!offer:multiversx-explorer,"[""[Explore](https://explorer.multiversx.com)""]",mainnet,,,,,,,,,,,
multiversx-explorer-testnet,,!offer:multiversx-explorer,"[""[Explore](https://testnet-explorer.multiversx.com)""]",testnet,,,,,,,,,,,
