slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historyDepth,availableApis,price,planName,planType,starred,tag
defillama-mainnet-free,,!offer:defillama-free,,mainnet,,,,,,,,,
footprint-analytics-mainnet-free,,!offer:footprint-analytics-free,,mainnet,,,,,,,,,
