slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
avalanche-builder-hub,Avalanche,,"[""[Faucet](https://build.avax.network/console/primary-network/faucet)""]",testnet,TRUE,FALSE,,$0,0.5 AVAX,24h,"[""Requires registration""]",FALSE,
chainlink-faucet,,!offer:chainlink-faucet,,testnet,,,,,0.5 AVAX,,,,
chainlink-faucet-link,,!offer:chainlink-faucet-link,,testnet,,,,,,,,,
circle-faucet-eurc,,!offer:circle-faucet-eurc,,testnet,,,,,20 EURC,2h,,,
circle-faucet-usdc,,!offer:circle-faucet-usdc,,testnet,,,,,20 USDC,,,,
quicknode-faucet,,!offer:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/avalanche/fuji)""]",testnet,,,,,,,,,
stakely-faucet,,!offer:stakely-faucet,"[""[Faucet](https://stakely.io/faucet/avalanche-avax)""]",mainnet,,,,,0.0003 AVAX,,,,
thirdweb-faucet,,!offer:thirdweb-faucet,"[""[Faucet](https://thirdweb.com/avalanche-fuji)""]",testnet,,,,,0.01 AVAX,,,,
