slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,,!offer:3xpl-mcp,,,,,,,,,,,,,,,,
alchemy-mcp-server,,!offer:alchemy-mcp-server,,,,,,,,,,,,,,,,
coinbase-agentkit-mcp,,!offer:coinbase-agentkit-mcp,,,,,,,,,,,,,,,,
cryptoapis-mcp-address-latest,,!offer:cryptoapis-mcp-address-latest,,,,,,,,,,,,,,,,
cryptoapis-mcp-block-data,,!offer:cryptoapis-mcp-block-data,,,,,,,,,,,,,,,,
cryptoapis-mcp-blockchain-fees,,!offer:cryptoapis-mcp-blockchain-fees,,,,,,,,,,,,,,,,
cryptoapis-mcp-broadcast,,!offer:cryptoapis-mcp-broadcast,,,,,,,,,,,,,,,,
cryptoapis-mcp-hd-wallet,,!offer:cryptoapis-mcp-hd-wallet,,,,,,,,,,,,,,,,
cryptoapis-mcp-hub,,!offer:cryptoapis-mcp-hub,,,,,,,,,,,,,,,,
cryptoapis-mcp-signer,,!offer:cryptoapis-mcp-signer,,,,,,,,,,,,,,,,
cryptoapis-mcp-simulate,,!offer:cryptoapis-mcp-simulate,,,,,,,,,,,,,,,,
cryptoapis-mcp-transactions-data,,!offer:cryptoapis-mcp-transactions-data,,,,,,,,,,,,,,,,
dexpaprika-mcp,,!offer:dexpaprika-mcp,,,,,,,,,,,,,,,,
euler-vaults-mcp,,!offer:euler-vaults-mcp,,,,,,,,,,,,,,,,
evm-mcp-server,,!offer:evm-mcp-server,,,,,,,,,,,,,,,,
misttrack-mcp,,!offer:misttrack-mcp,,,,,,,,,,,,,,,,
moralis-mcp-server,,!offer:moralis-mcp-server,,,,,,,,,,,,,,,,
nodit-mcp-server,,!offer:nodit-mcp-server,,,,,,,,,,,,,,,,
token-minter-mcp,,!offer:token-minter-mcp,,,,,,,,,,,,,,,,
token-revoke-mcp,,!offer:token-revoke-mcp,,,,,,,,,,,,,,,,
ucai,,!offer:ucai,,,,,,,,,,,,,,,,
uniswap-poolspy-mcp,,!offer:uniswap-poolspy-mcp,,,,,,,,,,,,,,,,
uniswap-trader-mcp,,!offer:uniswap-trader-mcp,,,,,,,,,,,,,,,,
universal-crypto-mcp,,!offer:universal-crypto-mcp,,,,,,,,,,,,,,,,
wallet-agent,,!offer:wallet-agent,,,,,,,,,,,,,,,,
wallet-inspector-mcp,,!offer:wallet-inspector-mcp,,,,,,,,,,,,,,,,
web3-mcp,,!offer:web3-mcp,,,,,,,,,,,,,,,,
