slug,provider,offer,actionButtons,chain,toolType,tag,price,planType,planName,description,starred
aleph-cloud-block-storage,,!offer:aleph-cloud-block-storage,,mainnet,,,,,,,
aleph-cloud-gpu-cloud,,!offer:aleph-cloud-gpu-cloud,,mainnet,,,,,,,
aleph-cloud-vps,,!offer:aleph-cloud-vps,,mainnet,,,,,,,
filebase-free,,!offer:filebase-free,,mainnet,,,,,,,
filebase-pay-as-you-go,,!offer:filebase-pay-as-you-go,,mainnet,,,,,,,
lighthouse-free,,!offer:lighthouse-free,,mainnet,,,,,,,
lighthouse-lite,,!offer:lighthouse-lite,,mainnet,,,,,,,
lighthouse-premium,,!offer:lighthouse-premium,,mainnet,,,,,,,
pinata-fiesta,,!offer:pinata-fiesta,,mainnet,,,,,,,
pinata-free,,!offer:pinata-free,,mainnet,,,,,,,
pinata-picnic,,!offer:pinata-picnic,,mainnet,,,,,,,
zeeve-build,,!offer:zeeve-build,,mainnet,,,,,,,
zeeve-free,,!offer:zeeve-free,,mainnet,,,,,,,
zeeve-growth,,!offer:zeeve-growth,,mainnet,,,,,,,
zeeve-launch,,!offer:zeeve-launch,,mainnet,,,,,,,
