slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/avalanche)""]",mainnet,,,,,,,,,,,,
api3-testnet,,!offer:api3,"[""[Website](https://market.api3.org/avalanche-testnet)""]",testnet,,,,,,,,,,,,
band,,!offer:band,"[""[Website](https://www.bandpartners.io/ecosystem/Avalanche)""]",mainnet,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[Website](https://docs.chain.link/ccip/directory/mainnet/chain/avalanche-mainnet)""]",mainnet,,,,,,,,,,,,
chainlink-testnet,,!offer:chainlink,"[""[Website](https://docs.chain.link/ccip/directory/testnet/chain/avalanche-fuji-testnet)""]",testnet,,,,,,,,,,,,
dia,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/guides/chain-specific-guide/avalanche)""]",mainnet,,,,,,,,,,,,
pyth,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm#mainnets)""]",mainnet,,,,,,,,,,,,
redstone,,!offer:redstone,"[""[Website](https://app.redstone.finance/app/feeds/?page=1&sortBy=popularity&sortDesc=false&perPage=32&networks=43114)""]",mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",mainnet,,,,,,,,,,,,
supra-testnet,,!offer:supra,"[""[Docs](https://docs.supra.com/oracles/data-feeds/pull-oracle/networks)""]",testnet,,,,,,,,,,,,
witnet-mainnet,,!offer:witnet,"[""[Docs](https://docs.witnet.io/smart-contracts/supported-chains)""]",mainnet,,,,,,,,,,,,
witnet-testnet,,!offer:witnet,"[""[Docs](https://docs.witnet.io/smart-contracts/supported-chains)""]",testnet,,,,,,,,,,,,
