slug,provider,offer,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment,programmingLanguages
apeworx,,!offer:apeworx,,,,,,,,,,,
palmera-safe-multisig-dedicated,,!offer:palmera-safe-multisig-dedicated,"[""[Website](https://safe.somnia.network/)"",""[Docs](https://docs.somnia.network/developer/infrastructure-dev-tools/safes)""]",,,,,,,,,,
thirdweb-growth,,!offer:thirdweb-growth,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,,
thirdweb-pro,,!offer:thirdweb-pro,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,,
thirdweb-scale,,!offer:thirdweb-scale,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,,
thirdweb-starter,,!offer:thirdweb-starter,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,,
