slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
1inch-mcp,,!offer:1inch-mcp,,,,,,,,,,,,,,,,,,,,
3xpl-mcp,,!offer:3xpl-mcp,,,,,,,,,,,,,,,,,,,,
aarc-docs-mcp,,!offer:aarc-docs-mcp,,,,,,,,,,,,,,,,,,,,
across-mcp,,!offer:across-mcp,,,,,,,,,,,,,,,,,,,,
agenti,,!offer:agenti,,,,,,,,,,,,,,,,,,,,
alchemy-mcp-server,,!offer:alchemy-mcp-server,,,,,,,,,,,,,,,,,,,,
banxa-docs-mcp,,!offer:banxa-docs-mcp,,,,,,,,,,,,,,,,,,,,
beaconcha-in-docs-mcp,,!offer:beaconcha-in-docs-mcp,,,,,,,,,,,,,,,,,,,,
biconomy-docs-mcp,,!offer:biconomy-docs-mcp,,,,,,,,,,,,,,,,,,,,
bitgo-mcp,,!offer:bitgo-mcp,,,,,,,,,,,,,,,,,,,,
blaze-docs-mcp,,!offer:blaze-docs-mcp,,,,,,,,,,,,,,,,,,,,
blockdaemon-docs-mcp,,!offer:blockdaemon-docs-mcp,,,,,,,,,,,,,,,,,,,,
blocknative-mcp,,!offer:blocknative-mcp,,,,,,,,,,,,,,,,,,,,
coinbase-agentkit-mcp,,!offer:coinbase-agentkit-mcp,,,,,,,,,,,,,,,,,,,,
wallet-agent,,!offer:wallet-agent,,,,,,,,,,,,,,,,,,,,
