slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
somnia-mainnet,Somnia,,"[""[Explore](https://explorer.somnia.network/)"",""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/explorers)""]",mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
somnia-testnet,Somnia,,"[""[Explore](https://shannon-explorer.somnia.network/)"",""[Docs](https://docs.somnia.network/developer/deployment-and-production/ecosystem/ecosystem-tools/explorers)""]",testnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,
tokenterminal-api-mainnet,,!offer:tokenterminal-api,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-api-testnet,,!offer:tokenterminal-api,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
tokenterminal-dataroom-mainnet,,!offer:tokenterminal-dataroom,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-dataroom-testnet,,!offer:tokenterminal-dataroom,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
tokenterminal-free-mainnet,,!offer:tokenterminal-free,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-free-testnet,,!offer:tokenterminal-free,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
tokenterminal-pro-mainnet,,!offer:tokenterminal-pro,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",mainnet,,,,,,,,,,,
tokenterminal-pro-testnet,,!offer:tokenterminal-pro,"[""[Explore](https://tokenterminal.com/)"",""[Buy](https://tokenterminal.com/pricing)""]",testnet,,,,,,,,,,,
