slug,provider,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,actionButtons
stellarexpert-mainnet,StellarExpert,mainnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers"",""Assets"",""Contracts""]","[""Asset Analytics"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger"",""Asset""]",TRUE,TRUE,Free,"[""[Explore](https://stellar.expert/)"", ""[Docs](https://stellar.expert/openapi.html)""]"
stellarexpert-testnet,StellarExpert,testnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers"",""Assets"",""Contracts""]","[""Asset Analytics"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger"",""Asset""]",TRUE,TRUE,Free,"[""[Explore](https://stellar.expert/)"", ""[Docs](https://stellar.expert/openapi.html)""]"
stellarchain-mainnet,StellarChain,mainnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers"",""Assets"",""Contracts""]","[""Price Charts"",""Exchange Rates""]",TRUE,"[""REST""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger"",""Asset""]",TRUE,TRUE,Free,"[""[Explore](https://stellarchain.io/)"", ""[Docs](https://stellarchain.io/)""]"
stellarchain-testnet,StellarChain,testnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers"",""Assets"",""Contracts""]","[""Price Charts"",""Exchange Rates""]",TRUE,"[""REST""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger"",""Asset""]",TRUE,TRUE,Free,"[""[Explore](https://stellarchain.io/)"", ""[Docs](https://stellarchain.io/)""]"
blockchair-mainnet,Blockchair,mainnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers""]","[""Analytics"",""Balances""]",FALSE,"[""REST""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger""]",FALSE,TRUE,Free,"[""[Explore](https://blockchair.com/stellar)"", ""[Docs](https://blockchair.com/about)""]"
blockchair-testnet,Blockchair,testnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers""]","[""Analytics"",""Balances""]",FALSE,"[""REST""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger""]",FALSE,TRUE,Free,"[""[Explore](https://blockchair.com/stellar)"", ""[Docs](https://blockchair.com/about)""]"
steexp-mainnet,Steexp,mainnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers"",""Assets"",""Contracts""]","[""Asset Analytics"",""Network Metrics""]",TRUE,"[""REST""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger"",""Asset""]",TRUE,TRUE,Free,"[""[Explore](https://steexp.com/)"", ""[Docs](https://steexp.com/)""]"
steexp-testnet,Steexp,testnet,Blockchain Data Indexing,"[""Accounts"",""Transactions"",""Ledgers"",""Assets"",""Contracts""]","[""Asset Analytics"",""Network Metrics""]",TRUE,"[""REST""]","[""JavaScript""]","[""Address"",""Transaction Hash"",""Ledger"",""Asset""]",TRUE,TRUE,Free,"[""[Explore](https://steexp.com/)"", ""[Docs](https://steexp.com/)""]"
