slug,provider,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,actionButtons
lightecho-mainnet,LightEcho,mainnet,Soroban Smart Contract Oracle,TRUE,"[""Price Feed"",""Event Triggers""]","[""Real-time Price Feeds"",""StellarExpert""]","[""Emerging Market Data"",""Volatility Feeds"",""Free Access""]","[""Cryptocurrency Prices"",""Volatility Data""]",Decentralized,TRUE,Secured by Stellar SCP and decentralized data sources,"[""Python"",""JavaScript""]","[""Audit by Runtime Verification, 2023""]","[""[XLM/USDC](https://lightecho.io/?from_asset=XLM&to_asset=USDC)""]"
lightecho-testnet,LightEcho,testnet,Soroban Smart Contract Oracle,FALSE,"[""Price Feed"",""Event Triggers""]","[""Real-time Price Feeds"",""StellarExpert""]","[""Emerging Market Data"",""Volatility Feeds"",""Free Access""]","[""Cryptocurrency Prices"",""Volatility Data""]",Decentralized,TRUE,Secured by Stellar SCP and decentralized data sources,"[""Python"",""JavaScript""]","[""Audit by Runtime Verification, 2023""]","[""[XLM/USDC](https://lightecho.io/?from_asset=XLM&to_asset=USDC)""]"
band-mainnet,!provider:band,mainnet,,,,,,,,,,,,"[""[XLM/USD](https://data.bandprotocol.com/symbol/XLM/)"", ""[Docs](https://docs.bandchain.org//)""]"
dia-mainnet,!provider:dia,mainnet,,,,,,,,,,,,"[""[XLM/USD](https://www.diadata.org/app/price/asset/Stellar/0x0000000000000000000000000000000000000000/)"", ""[Docs](https://www.diadata.org/docs/data-products-and-tools/token-price-feeds#data-sources/)""]"
reflector-mainnet,Reflector,mainnet,Consensus-based Oracle,FALSE,"[""Price Feed"",""Custom Triggers""]","[""Real-time Price Feeds"",""StellarExpert""]","[""Custom Triggers"",""On-chain/Off-chain Data""]","[""Cryptocurrency Prices"",""Exchange Rates""]",Decentralized,TRUE,Secured by trusted Stellar ecosystem nodes,"[""JavaScript""]","[""Audit by Quantstamp, 2023""]","[""[Docs](https://reflector.network/docs)""]"
reflector-testnet,Reflector,testnet,Consensus-based Oracle,FALSE,"[""Price Feed"",""Custom Triggers""]","[""Real-time Price Feeds"",""StellarExpert""]","[""Custom Triggers"",""On-chain/Off-chain Data""]","[""Cryptocurrency Prices"",""Exchange Rates""]",Decentralized,TRUE,Secured by trusted Stellar ecosystem nodes,"[""JavaScript""]","[""Audit by Quantstamp, 2023""]","[""[Docs](https://reflector.network/docs)""]"
