slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
bscscan-mainnet-explorer,!provider:etherscan,,mainnet,,,,FALSE,,,,,,
oklink-mainnet-explorer,!provider:oklink,,mainnet,,,,FALSE,,,,,,
tokenview-mainnet-explorer,!provider:tokenview,,mainnet,,,,FALSE,,,,,,
