slug,provider,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,supportedChains,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk
across,!provider:across,,mainnet,,,,,,,,,,,,,,,,,
allbridge-core,!provider:allbridge-core,,mainnet,,,,,,,,,,,,,,,,,
asterizm,!provider:asterizm,,mainnet,,,,,,,,,,,,,,,,,
axelar,!provider:axelar,,mainnet,,,,,,,,,,,,,,,,,
celer,!provider:celer,,mainnet,,,,,,,,,,,,,,,,,
chainlink-bridge,!provider:chainlink-bridge,,mainnet,,,,,,,,,,,,,,,,,
chainport,!provider:chainport,,mainnet,,,,,,,,,,,,,,,,,
chainspot,!provider:chainspot,,mainnet,,,,,,,,,,,,,,,,,
connext,!provider:connext,,mainnet,,,,,,,,,,,,,,,,,
crosscurve,!provider:crosscurve,,mainnet,,,,,,,,,,,,,,,,,
debridge,!provider:debridge,,mainnet,,,,,,,,,,,,,,,,,
defiway-bridge,!provider:defiway-bridge,,mainnet,,,,,,,,,,,,,,,,,
garden,!provider:garden,,mainnet,,,,,,,,,,,,,,,,,
hashport,!provider:hashport,,mainnet,,,,,,,,,,,,,,,,,
hyperlane,!provider:hyperlane,,mainnet,,,,,,,,,,,,,,,,,
interport,!provider:interport,,mainnet,,,,,,,,,,,,,,,,,
jumper,!provider:jumper,,mainnet,,,,,,,,,,,,,,,,,
layerswap,!provider:layerswap,,mainnet,,,,,,,,,,,,,,,,,
layerzero,!provider:layerzero,,mainnet,,,,,,,,,,,,,,,,,
lifi,!provider:lifi,,mainnet,,,,,,,,,,,,,,,,,
mayan,!provider:mayan,,mainnet,,,,,,,,,,,,,,,,,
meson,!provider:meson,,mainnet,,,,,,,,,,,,,,,,,
messina,!provider:messina,,mainnet,,,,,,,,,,,,,,,,,
okutrade,!provider:okutrade,,mainnet,,,,,,,,,,,,,,,,,
orbiter,!provider:orbiter,,mainnet,,,,,,,,,,,,,,,,,
owlto,!provider:owlto,,mainnet,,,,,,,,,,,,,,,,,
pancakeswap-bridge,!provider:pancakeswap-bridge,,mainnet,,,,,,,,,,,,,,,,,
polyhedra,!provider:polyhedra,,testnet,,,,,,,,,,,,,,,,,
rango,!provider:rango,,mainnet,,,,,,,,,,,,,,,,,
relay,!provider:relay,,mainnet,,,,,,,,,,,,,,,,,
rhinofi,!provider:rhinofi,,mainnet,,,,,,,,,,,,,,,,,
routerprotocol,!provider:routerprotocol,,mainnet,,,,,,,,,,,,,,,,,
rubic,!provider:rubic,,mainnet,,,,,,,,,,,,,,,,,
safeswap,!provider:safeswap,,mainnet,,,,,,,,,,,,,,,,,
smolrefuel,!provider:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,
squid,!provider:squid,,mainnet,,,,,,,,,,,,,,,,,
stargate,!provider:stargate,,mainnet,,,,,,,,,,,,,,,,,
superbridge,!provider:superbridge,,mainnet,,,,,,,,,,,,,,,,,
symbiosis,!provider:symbiosis,,mainnet,,,,,,,,,,,,,,,,,
synapse,!provider:synapse,,mainnet,,,,,,,,,,,,,,,,,
ton-bridge,!provider:ton-bridge,,mainnet,,,,,,,,,,,,,,,,,
transporter,!provider:transporter,,mainnet,,,,,,,,,,,,,,,,,
umbria,!provider:umbria,,mainnet,,,,,,,,,,,,,,,,,
universalx,!provider:universalx,,mainnet,,,,,,,,,,,,,,,,,
wanchain,!provider:wanchain,,mainnet,,,,,,,,,,,,,,,,,
wormhole,!provider:wormhole,,mainnet,,,,,,,,,,,,,,,,,
xyfinance,!provider:xyfinance,,mainnet,,,,,,,,,,,,,,,,,
zkbridge,!provider:zkbridge,,mainnet,,,,,,,,,,,,,,,,,
