slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod
chainlink-bsc-testnet-faucet,!provider:chainlink-faucet,,testnet,,,,,,,,
quicknode-bsc-testnet-faucet,!provider:quicknode-faucet,,testnet,,,,,,,,
