slug,provider,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing
arkham,!provider:arkham,,mainnet,,,,,,,,,,
blockchair,!provider:blockchair,,mainnet,,,,,,,,,,
dex-guru,!provider:dex-guru,,mainnet,,,,,,,,,,
oklink,!provider:oklink,,mainnet,,,,,,,,,,
okx,!provider:okx,,mainnet,,,,,,,,,,
tenderly-explorer,!provider:tenderly-explorer,,mainnet,,,,,,,,,,
tokenview,!provider:tokenview,,mainnet,,,,,,,,,,
bscscan,BscScan,"[""[Explore](https://bscscan.com)"",""[Docs](https://docs.bscscan.com/)""]",mainnet,Etherscan,"[""Transactions"",""Tokens"",""Blocks"",""Contracts"",""Gas""]","[""Verified Contracts"",""Token Approvals"",""API Access"",""Bytecode to Opcode""]",TRUE,"[""REST API""]",,"[""Address"",""Transaction Hash"",""Block"",""Token"",""Contract""]",TRUE,TRUE,Free
bsctrace-mainnet,NodeReal,"[""[Explore](https://bsctrace.com)""]",mainnet,Custom,"[""Transactions"",""Internal Tx"",""Blocks""]","[""Detailed Call Traces"",""Geth Debug Traces"",""Fast""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash""]",TRUE,TRUE,Free
bsctrace-testnet,NodeReal,"[""[Explore](https://testnet.bsctrace.com/)""]",testnet,Custom,"[""Transactions"",""Internal Tx"",""Blocks""]","[""Detailed Call Traces"",""Geth Debug Traces"",""Fast""]",FALSE,"[""REST API""]",,"[""Address"",""Transaction Hash""]",TRUE,TRUE,Free
bitquery,!provider:bitquery,,mainnet,,,,,,,,,,
3xpl,!provider:3xpl,,mainnet,,,,,,,,,,
metasleuth,!provider:metasleuth,,mainnet,,,,,,,,,,
