slug,provider,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod
quicknode-bsc-testnet-faucet,!provider:quicknode-faucet,[],testnet,FALSE,FALSE,,,FALSE,[],,
chainlink-bsc-testnet-faucet,!provider:chainlink-faucet,[],testnet,FALSE,FALSE,,,FALSE,[],,
