slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
blockfrost-api,Blockfrost,"[""[Website](https://blockfrost.io)"",""[Docs](https://docs.blockfrost.io/) ""]",Free,Free,Archive,RPC,Cardano Node,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""cardano"",""ipfs"",""nut.link""]","[""50K reqs/day""]","[""IP Protection""]","[""Basic metrics""]","[""Global""]","[""IPFS Storage"",""NFT Metadata""]",
koios-api,Koios,"[""[Website](https://koios.rest/)"",""[Docs](https://api.koios.rest/) ""]",Public,Free,Archive,Indexed Data,PostgREST,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""cardano"",""scripts"",""assets""]","[""Rate Limited""]","[""Decentralized""]","[""None""]","[""Global""]","[""Community Hosted""]",
maestro-api,Maestro,"[""[Website](https://www.gomaestro.org/)"",""[Docs](https://docs.gomaestro.org/) ""]",Free,Free,Archive,RPC,Cardano Node,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""cardano"",""defi"",""contracts""]","[""100K credits/mo""]","[""API Key""]","[""Usage analytics""]","[""Global""]","[""Smart Contract Indexer""]",
tangocrypto-api,Tangocrypto,"[""[Website](https://www.tangocrypto.com/)"",""[Docs](https://docs.tangocrypto.com/) ""]",Free,Free,Archive,RPC,Cardano Node,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""cardano"",""webhooks"",""nft""]","[""15M reqs/mo""]","[""API Key""]","[""Dashboard""]","[""Global""]","[""NFT Studio""]",
dandelion-api,Gimbalabs,"[""[Website](https://gimbalabs.com/dandelion)"",""[Docs](https://docs.dandelion.link/) ""]",Community,Free,Archive,Indexed Data,PostgREST,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""cardano"",""submit""]","[""Community usage policy""]","[""Decentralized""]","[""Open monitoring""]","[""Global""]","[""Community managed""]",
nacho-api,Nacho,"[""[Website](https://nacho.builders/)""]",Public,Free,Archive,Indexed Data,REST,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""market"",""nft""]","[""Rate Limited""]",,"[""None""]","[""Global""]","[""Market Data""]",
cardanoscan-api,Cardanoscan,"[""[Website](https://cardanoscan.io/)"",""[Docs](https://docs.cardanoscan.io/) ""]",Public,Free,Archive,Indexed Data,Explorer API,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""cardano"",""rewards""]","[""Rate limited""]","[""Basic protection""]","[""None""]","[""Global""]","[""Explorer Data""]",
bitquery-cardano-api,Bitquery,"[""[Website](https://bitquery.io/blockchains/cardano-blockchain-api)"",""[Docs](https://docs.bitquery.io/docs/category/cardano/) ""]",Free,Free,Archive,Indexed Data,GraphQL,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""cardano"",""dex""]","[""Points based""]","[""API Key""]","[""Dashboard""]","[""Global""]","[""Multi-chain""]",
cardanobi-api,CardanoBI,"[""[Website](https://cardanobi.io/)""]",Public,Free,Archive,Indexed Data,REST,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""bi"",""analytics""]",,,"[""None""]","[""Global""]","[""Business Intelligence""]",
scrolls-api,TxPipe,"[""[Docs](https://github.com/txpipe/scrolls) ""]",Open Source,Free,Archive,Indexed Data,Redis Indexer,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""ledger"",""kv-store""]","[""Hardware dependent""]","[""Self-managed""]","[""Log based""]","[""Global""]","[""Read-optimized""]",
