slug,provider,offer,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
thirdweb-growth,,!offer:thirdweb-growth,"[""[Docs](https://thirdweb.com/oasis-sapphire)""]",,,,,,,,,
thirdweb-pro,,!offer:thirdweb-pro,"[""[Docs](https://thirdweb.com/oasis-sapphire)""]",,,,,,,,,
thirdweb-scale,,!offer:thirdweb-scale,"[""[Docs](https://thirdweb.com/oasis-sapphire)""]",,,,,,,,,
thirdweb-starter,,!offer:thirdweb-starter,"[""[Docs](https://thirdweb.com/oasis-sapphire)""]",,,,,,,,,
