slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdkLanguages,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
worldscan-mainnet,,!offer:etherscan,"[""[Explore](https://worldscan.org/)""]",mainnet,,,,,,,,,,,
worldscan-testnet,,!offer:etherscan,"[""[Explore](https://sepolia.worldscan.org/)""]",testnet,,,,,,,,,,,
