slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
ankr-mainnet-free-recent-state,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/web3-api/chains-list/etherlink/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/etherlink/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/web3-api/chains-list/etherlink/)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/etherlink/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/etherlink/)"",""[Docs](https://docs.blockpi.io/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-dedicated-recent-state,,!offer:chainstack-pro-recent-state,"[""[Website](https://chainstack.com/build-better-with-etherlink/)"",""[Docs](https://docs.chainstack.com/docs/platform-introduction)""]","Dedicated Node",Dedicated,,,,mainnet,"from $483/mo",$0,,FALSE,"[""JSON-RPC"",""HTTPS"",""WebSocket""]","[""Requires a Pro plan subscription or higher"",""Provisioning typically takes 1–2 business days""]","[""Isolated infrastructure"",""Access controls"",""Encrypted communication""]","[""Request monitoring"",""Latency monitoring"",""System health monitoring""]",,"[""Unlimited requests"",""Customizable node configuration""]",,,NULL,,,,,,
spectrum-mainnet-developer-recent-state,,!offer:spectrum-developer-recent-state,"[""[Website](https://spectrumnodes.com/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
zeeve-mainnet-basic-recent-state,,!offer:zeeve-basic-recent-state,"[""[Website](https://www.zeeve.io/blockchain-protocols/deploy-etherlink-node/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
