slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
frax-pow-faucet,Frax,,"[""[Faucet](https://faucet.testnet.frax.com/)""]",holesky,,,,,,,,,
quicknode-fraxtal-faucet,,!offer:quicknode-faucet,"[""[Faucet](https://faucet.quicknode.com/fraxtal)""]",holesky,,,,,,,,,
thirdweb-fraxtal-faucet,,!offer:thirdweb-faucet,"[""[Faucet](https://thirdweb.com/fraxtal-testnet)""]",holesky,,,,,,,,,
