slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Website](https://market.api3.org/fraxtal)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Push Feeds](https://app.redstone.finance/push-feeds?size=32&networks=fraxtal)""]",mainnet,,,,,,,,,,,,
