slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdkLanguages,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
fraxscan-mainnet,,!offer:etherscan,"[""[Explorer](https://fraxscan.com/)""]",mainnet,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explorer](https://dashboard.tenderly.co/explorer/fraxtal-mainnet)""]",mainnet,,,,,,,,,,,
