slug,provider,offer,actionButtons,toolType,tag,price,planName,planType,description,starred
goldsky,Goldsky,Goldsky,"[""[Website](https://goldsky.com/)"",""[Docs](https://docs.goldsky.com/chains/fraxtal#install-goldskys-cli-and-log-in)""]",Indexer,"[""Subgraphs"",""Data indexing"",""Fraxtal"""]",,,,"Fraxtal docs list Goldsky as a data indexing provider for Fraxtal and document a Fraxtal chain slug for deployment.",FALSE
the-graph,The Graph,The Graph,"[""[Website](https://thegraph.com/)"",""[Docs](https://thegraph.com/docs/en/subgraphs/developing/creating/subgraph-studio/)""]",Indexer,"[""Subgraphs"",""GraphQL"",""Fraxtal"""]",,,,"Fraxtal docs list The Graph as an indexer option for Fraxtal and provide a quick-start for creating and deploying Fraxtal subgraphs.",FALSE
