slug,provider,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address
dwellir-mainnet-free-recent-state,!provider:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/sui)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-developer-recent-state,!provider:dwellir-developer-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-growth-recent-state,!provider:dwellir-growth-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-scale-recent-state,!provider:dwellir-scale-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-mainnet-enterprise-recent-state,!provider:dwellir-enterprise-recent-state,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
dwellir-testnet-free-recent-state,!provider:dwellir-free-recent-state,"[""[Website](https://www.dwellir.com/networks/sui)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
dwellir-testnet-developer-recent-state,!provider:dwellir-developer-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
dwellir-testnet-growth-recent-state,!provider:dwellir-growth-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
dwellir-testnet-scale-recent-state,!provider:dwellir-scale-recent-state,"[""[Buy](https://www.dwellir.com/pricing)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
dwellir-testnet-enterprise-recent-state,!provider:dwellir-enterprise-recent-state,"[""[Contact](https://www.dwellir.com/contact)"",""[Docs](https://www.dwellir.com/docs/sui)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
blockvision-mainnet-free-full-archive,!provider:blockvision-free-full-archive,"[""[Docs](https://docs.blockvision.org/reference/grpc-for-sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockvision-mainnet-lite-plan-full-archive,!provider:blockvision-lite-plan-full-archive,"[""[Docs](https://docs.blockvision.org/reference/grpc-for-sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockvision-mainnet-basic-plan-full-archive,!provider:blockvision-basic-plan-full-archive,"[""[Docs](https://docs.blockvision.org/reference/grpc-for-sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockvision-mainnet-pro-plan-full-archive,!provider:blockvision-pro-plan-full-archive,"[""[Docs](https://docs.blockvision.org/reference/grpc-for-sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockvision-mainnet-enterprise-full-archive,!provider:blockvision-enterprise-full-archive,"[""[Docs](https://docs.blockvision.org/reference/grpc-for-sui)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,
blockvision-testnet-free-full-archive,!provider:blockvision-free-full-archive,"[""[Docs](https://docs.blockvision.org/reference/grpc-for-sui)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,
