slug,provider,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,actionButtons
sui-faucet,Sui,testnet,FALSE,TRUE,,$0,1 SUI,,,FALSE,"[""[Faucet](https://faucet.sui.io/?network=testnet)""]"
blockbolt-sui-faucet,Blockbolt,testnet,FALSE,FALSE,,$0,1 SUI,24h,,FALSE,"[""[Faucet](https://faucet.blockbolt.io/)""]"
stakely-faucet,!provider:stakely-faucet,testnet,,,,,,,,,"[""[Faucet](https://stakely.io/faucet/sui-testnet-sui)""]"
circle-faucet-usdc,!provider:circle-faucet-usdc,testnet,,,,,1 USDC,,,,
