slug,provider,chain,technology,monitoringAndAnalytics,additionalFeatures,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,starred,actionButtons
arkham,Arkham Intelligence,mainnet,Custom (Analytics/Intel),"[""Accounts"",""Transactions"",""Tokens""]","[""Entity Labeling"",""Relationship Graphs"",""De-anonymization"",""Portfolio Tracking""]","[""REST""]","[""Python"",""TypeScript""]","[""Address"",""Entity"",""Transaction Hash"",""Token""]",FALSE,TRUE,partially paid,FALSE,"[""[Explore](https://intel.arkm.com/)"",""[Docs](https://codex.arkm.com/)""]"
blockscout-sepolia,!provider:blockscout,sepolia,,,,,,,,,,FALSE,"[""[Explore](https://base-sepolia.blockscout.com/)""]"
etherscan-sepolia,!provider:etherscan,sepolia,,,,,,,,,,FALSE,"[""[Explore](https://sepolia.basescan.org/)""]"
dexguru,DexGuru,mainnet,Web,"[""Transactions"",""Blocks"",""Account balances""]","[""Verify contracts"",""Debug transactions"",""Interactive trace""]","[""REST""]",,"[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,FREE/$199/mo,FALSE,"[""[Explore](https://base.dex.guru/)"", ""[Docs](https://dexguru.readme.io/docs/getting-started)""]"
L2scan-explorer-mainnet,L2scan,mainnet,Web,"[""Transaction history"",""Account balances"",""Network activity tracking""]","[""User-friendly interface""]","[""REST""]",,"[""Address"",""Transaction Hash"",""Block""]",TRUE,TRUE,FREE,FALSE,"[""[Explore](https://base.l2scan.co/)""]"
oklink-mainnet,!provider:oklink,mainnet,,,,,,,TRUE,TRUE,,FALSE,"[""[Explore](https://www.oklink.com/base)""]"
routescan-mainnet,Routescan,mainnet,Superchain Explorer,"[""Transactions"",""Addresses"",""Tokens"",""Prices""]","[""Cross-chain"",""Superchain coverage""]","[""REST""]","[""TypeScript, Node.js""]","[""Address"",""Transaction Hash"",""Token"",""Price"",""Block""]",TRUE,TRUE,FREE,FALSE,"[""[Explore](https://routescan.io/)"",""[Docs](https://routescan.io/documentation/api/etherscan-like/accounts)""]"
tenderly-explorer,Tenderly,mainnet,Developer Explorer,"[""Accounts"",""Transactions"",""Blocks"",""Contracts""]","[""Smart contract debugging"",""Gas optimization"",""Transaction trace""]","[""REST""]",,"[""Address"",""Transaction"",""Block"",""Token""]",TRUE,TRUE,FREE/$45/mo/$450/mo,FALSE,"[""[Explore](https://tenderly.co/)"",""[Docs](https://docs.tenderly.co/products)""]"
