slug,provider,chain,dataSources,hasDashboard,availableApis,price,starred,actionButtons
dune-mainnet,!provider:dune,mainnet,"[""Total value bridged"",""Whales ranking"", ""Net value flow"", ""Fees & Revenue"", ""Users"", ""Daily ETH volume"", ""DEX Volume""]",TRUE,,0,,"[""[DEX Metrics](https://dune.com/sealaunch/dex-metrics-on-base)"", ""[Network analytics](https://dune.com/tk-research/base)""]"
dappradar-mainnet,!provider:dappradar,mainnet,,,,,,"[""[Dashboard](https://dappradar.com/chain/base)""]"
defillama-mainnet,!provider:defillama,mainnet,,,,,,"[""[Dashboard](https://defillama.com/chain/base)""]"
blockworks-mainnet,!provider:blockworks,mainnet,,,,,,"[""[Dashboard](https://blockworks.com/analytics/base)""]"
l2beat-mainnet,!provider:l2beat,mainnet,,,,,,"[""[Dashboard](https://l2beat.com/scaling/projects/base)""]"
tokenterminal,!provider:tokenterminal,mainnet,,,,,,"[""[Dashboard](https://tokenterminal.com/explorer/projects/base)""]"
growthepie-mainnet,!provider:growthepie,mainnet,,,,,,"[""[Dashboard](https://www.growthepie.com/chains/base)""]"
sentry-aleno-mainnet,!provider:sentry-aleno,mainnet,,,,,,
