slug,provider,chain,technology,accessPrice,queryPrice,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,actionButtons
api3-mainnet,!provider:api3,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://docs.api3.org/)""""]"""
api3-sepolia,!provider:api3,sepolia,,,,,,,,,,,,,,"""[""""[Docs](https://docs.api3.org/)""""]"""
chainlink-mainnet,!provider:chainlink,mainnet,,,,,,,,,,,,,,"""[""""[ETH/USD](https://data.chain.link/feeds/base/base/eth-usd)"""", """"[Docs](https://docs.chain.link/)""""]"""
chainlink-sepolia,!provider:chainlink,sepolia,,,,,,,,,,,,,,"""[""""[Docs](https://docs.chain.link/)""""]"""
chronicle-mainnet,!provider:chronicle,mainnet,,,,,,,,,,,,,,"""[""""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#blockchain=BASE)""""]"""
chronicle-sepolia,!provider:chronicle,sepolia,,,,,,,,,,,,,,"""[""""[ETH/USD](https://chroniclelabs.org/dashboard/oracle/ETH/USD#testnet=true&blockchain=BASESEP)""""]"""
dia-mainnet,!provider:dia,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://www.diadata.org/docs/home)""""]"""
dia-sepolia,!provider:dia,sepolia,,,,,,,,,,,,,,"""[""""[Docs](https://www.diadata.org/docs/home)""""]"""
ora-mainnet,!provider:ora,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://docs.ora.io/doc/onchain-ai-oracle-oao/onchain-ai-oracle)""""]"""
pyth-mainnet,!provider:pyth,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://docs.base.org/base-chain/tools/oracles#pyth)""""]"""
pyth-sepolia,!provider:pyth,sepolia,,,,,,,,,,,,,,"""[""""[Docs](https://docs.base.org/base-chain/tools/oracles#pyth)""""]"""
redstone-mainnet,!provider:redstone,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://docs.redstone.finance/)""""]"""
supra-mainnet,!provider:supra,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://docs.supra.com/)""""]"""
supra-sepolia,!provider:supra,sepolia,,,,,,,,,,,,,,"""[""""[Docs](https://docs.supra.com/)""""]"""
gelato-mainnet,!provider:gelato,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://docs.gelato.network/)""""]"""
gelato-sepolia,!provider:gelato,sepolia,,,,,,,,,,,,,,"""[""""[Docs](https://docs.gelato.network/)""""]"""
orochi-mainnet,!provider:orochi,mainnet,,,,,,,,,,,,,,"""[""""[Docs](https://docs.orochi.network/)""""]"""
orochi-sepolia,!provider:orochi,sepolia,,,,,,,,,,,,,,"""[""""[Docs](https://docs.orochi.network/)""""]"""
