slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred,tag
artemis,,!offer:artemis,"[""[Dashboard](https://app.artemisanalytics.com/asset/scroll?tab=overview)""]",mainnet,,,,,,,,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/scroll)""]",mainnet,,,,,,,,
dexscreener,,!offer:dexscreener,"[""[Dashboard](https://dexscreener.com/scroll)""]",mainnet,,,,,,,,
dune,,!offer:dune,"[""[Dashboard](https://dune.com/blockchains/scroll)""]",mainnet,,,,,,,,
growthepie,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/scroll)""]",mainnet,,,,,,,,
l2beat,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/scroll)""]",mainnet,,,,,,,,
messari,,!offer:messari,"[""[Dashboard](https://messari.io/project/scroll)""]",mainnet,,,,,,,,
tokenterminal,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/scroll)""]",mainnet,,,,,,,,
