slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
initia-dex,,!offer:initia-dex,,,,,,,,
initia-registry,,!offer:initia-registry,,,,,,,,
initia-usernames,,!offer:initia-usernames,,,,,,,,
initia-vip,,!offer:initia-vip,,,,,,,,
minitswap,,!offer:minitswap,,,,,,,,
