slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
blockdaemon-mainnet-dedicated-recent-state,,!offer:blockdaemon-dedicated-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/xrp)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-full-archive,,!offer:blockdaemon-free-full-archive,"[""[Website](https://docs.blockdaemon.com/docs/access-xrp-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-recent-state,,!offer:blockdaemon-free-recent-state,"[""[Website](https://docs.blockdaemon.com/docs/access-xrp-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth-full-archive,,!offer:blockdaemon-growth-full-archive,"[""[Docs](https://docs.blockdaemon.com/reference/xrp-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth-recent-state,,!offer:blockdaemon-growth-recent-state,"[""[Docs](https://docs.blockdaemon.com/reference/xrp-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-starter-full-archive,,!offer:blockdaemon-starter-full-archive,"[""[Docs](https://docs.blockdaemon.com/reference/xrp-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-starter-recent-state,,!offer:blockdaemon-starter-recent-state,"[""[Docs](https://docs.blockdaemon.com/reference/xrp-methods-rpc-api)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated-recent-state,,!offer:blockdaemon-dedicated-recent-state,"[""[Docs](https://docs.blockdaemon.com/docs/xrp)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
coin-gecko-api-mainnet-analyst,,!offer:coin-gecko-api-analyst,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coin-gecko-api-mainnet-basic,,!offer:coin-gecko-api-basic,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
coin-gecko-api-mainnet-lite,,!offer:coin-gecko-api-lite,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-dedicated-full-archive,,!offer:crypto-apis-dedicated-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-full-archive,,!offer:crypto-apis-free-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-free-recent-state,,!offer:crypto-apis-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-full-archive,,!offer:crypto-apis-pro-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-pro-recent-state,,!offer:crypto-apis-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-full-archive,,!offer:crypto-apis-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-scale-recent-state,,!offer:crypto-apis-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-full-archive,,!offer:crypto-apis-starter-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-mainnet-starter-recent-state,,!offer:crypto-apis-starter-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-dedicated-full-archive,,!offer:crypto-apis-dedicated-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-free-full-archive,,!offer:crypto-apis-free-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-free-recent-state,,!offer:crypto-apis-free-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-pro-full-archive,,!offer:crypto-apis-pro-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-pro-recent-state,,!offer:crypto-apis-pro-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-scale-full-archive,,!offer:crypto-apis-scale-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-scale-recent-state,,!offer:crypto-apis-scale-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-starter-full-archive,,!offer:crypto-apis-starter-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
crypto-apis-testnet-starter-recent-state,,!offer:crypto-apis-starter-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-full-archive,,!offer:getblock-advanced-full-archive,"[""[Docs](https://docs.getblock.io/api-reference/xrp-ledger/tx-xrpl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,,!offer:getblock-advanced-recent-state,"[""[Docs](https://docs.getblock.io/api-reference/xrp-ledger/tx-xrpl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-full-archive,,!offer:getblock-dedicated-full-archive,"[""[Docs](https://docs.getblock.io/api-reference/xrp-ledger/tx-xrpl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,,!offer:getblock-dedicated-recent-state,"[""[Docs](https://docs.getblock.io/api-reference/xrp-ledger/tx-xrpl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Docs](https://docs.getblock.io/api-reference/xrp-ledger/tx-xrpl)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
