slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explorer](https://scout.peaq.xyz/)"",""[Docs](https://docs.peaq.xyz/build/basic-operations/block-explorers.md)""]",mainnet,,,,,,,,,,,
subscan-mainnet,,!offer:subscan,"[""[Explorer](https://peaq.subscan.io/)"",""[Docs](https://docs.peaq.xyz/build/basic-operations/block-explorers.md)""]",mainnet,,,,,,,,,,,
subscan-testnet,,!offer:subscan,"[""[Explorer](https://agung-testnet.subscan.io/)"",""[Docs](https://docs.peaq.xyz/build/basic-operations/block-explorers.md)""]",testnet,,,,,,,,,,,
