slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,starred,additionalNotes,dripLimitAmount,dripLimitPeriod,tag
chiliz-spicy-faucet,,!offer:chiliz-spicy-faucet,"[""[Faucet](https://spicy-faucet.chiliz.com/)"",""[Docs](https://docs.chiliz.com/develop/basics/obtain-free-testnet-tokens/obtain-test-chz-tokens-with-spicy-faucet)""]",testnet,,,,,,,20 test CHZ,24h,
tatum-spicy-faucet,,!offer:tatum-faucet,"[""[Docs](https://docs.chiliz.com/develop/basics/obtain-free-testnet-tokens/obtain-test-chz-tokens-with-tatum-faucet)""]",testnet,,,,,,,10 test CHZ,24h,
