slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
azuro-mainnet,,!offer:azuro,"[""[Docs](https://docs.chiliz.com/community/chiliz-chain-ecosystem/developer-tools/azuro)"",""[Website](https://azuro.org/)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.chiliz.com/community/chiliz-chain-ecosystem/developer-tools/pyth)"",""[Contracts](https://docs.pyth.network/price-feeds/contract-addresses/evm)""]",mainnet,,,,,,,,,,,,
