slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
mintscan-mainnet,,!offer:mintscan,"[""[Explore](https://www.mintscan.io/xion)"",""[Docs](https://docs.verona.dev/verona/build-on-verona/references/block-explorers)""]",mainnet,,,,,,,,,,,
mintscan-testnet,,!offer:mintscan,"[""[Explore](https://www.mintscan.io/xion-testnet)"",""[Docs](https://docs.verona.dev/verona/build-on-verona/references/block-explorers)""]",testnet,,,,,,,,,,,
nodes-guru-mainnet,,!offer:nodes-guru,"[""[Explore](https://xion.explorers.guru)"",""[Docs](https://docs.verona.dev/verona/build-on-verona/references/block-explorers)""]",mainnet,,,,,,,,,,,
nodestake-mainnet,,!offer:nodestake,"[""[Explore](https://explorer.nodestake.org/xion)"",""[Docs](https://docs.verona.dev/verona/build-on-verona/references/block-explorers)""]",mainnet,,,,,,,,,,,
staking-explorer-mainnet,,!offer:staking-explorer,"[""[Explore](https://staking-explorer.com/explorer/xion)"",""[Docs](https://docs.verona.dev/verona/build-on-verona/references/block-explorers)""]",mainnet,,,,,,,,,,,
xion-explorer-mainnet,,!offer:xion-explorer,"[""[Explore](https://explorer.burnt.com/xion-mainnet-1)"",""[Docs](https://docs.verona.dev/verona/build-on-verona/references/block-explorers)""]",mainnet,,,,,,,,,,,
xion-explorer-testnet,,!offer:xion-explorer,"[""[Explore](https://explorer.burnt.com/xion-testnet-2)"",""[Docs](https://docs.verona.dev/verona/build-on-verona/references/block-explorers)""]",testnet,,,,,,,,,,,
