slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag,claimRequirements
optimism-superchain-faucet-testnet,,!offer:optimism-superchain-faucet,,testnet,,,,,,,,,,
quicknode-faucet-testnet,,!offer:quicknode-faucet,,testnet,,,,,,,,,,
