slug,provider,plan,nodeType,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedBlocksBehindAvg,actionButtons
blast-pay-as-you-go-full-archive,Blast,Pay-as-you-go,Full Archive,$50/$250 included into query fees,$10-24.8 per 1M requests,null,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""20M-80M requests per month"",""100-400 requests per second"", ""3-10 projects""]","[""Methods filtering"", ""IP filtering"", ""Domains filtering"",""Rate-limiting""]","[""API calls"", ""Calls per chain"", ""Calls per method""]",null,null,null,null,"[{""label"":""Buy"", ""url"":""https://blastapi.io/dashboard"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blastapi.io/"", ""type"":""external""}]"
blast-enterprise-full-archive,Blast,Enterprise,Full Archive,Custom,custom,custom,null,null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""Custom""]","[""Methods filtering"", ""IP filtering"", ""Domains filtering"",""Rate-limiting""]","[""API calls"", ""Calls per chain"", ""Calls per method""]",null,null,null,null,"[{""label"":""Buy"", ""url"":""https://blastapi.io/dashboard"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blastapi.io/"", ""type"":""external""}]"
blockdaemon-free-recent-state,Blockdaemon,Free,Recent-State,,,99.9,,,FALSE,FALSE,,"[""~300 req/min""]",,,,,,,
blockdaemon-pay-as-you-go-recent-state,Blockdaemon,Pay-as-you-go,Recent-State,,,99.9,,,FALSE,FALSE,,"[""6k / 12k reblockdaemon-enterprise-recent-state,Blockdaemon,Enterprise,Recent-State,Custom,Custom,99.9,,,FALSE,FALSE,,[],,,,,,,
blockvision-free-full-archive,BlockVision,Free,Full Archive,$0,null,99.90%,,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""~720 req/min""]","[""DDoS Protection"", ""IP Protection""]","[""Basic monitoring""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://blockvision.org/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockvision.org/reference/"", ""type"":""external""}]"
blockvision-pay-as-you-go-full-archive,BlockVision,Pay-as-you-go,Full Archive,$ 29 / 99 / 199,null,99.90%,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""1200 / 2400 / 4800 req/min""]","[""DDoS Protection"", ""IP Protection""]","[""Usage analytics"",""Custom monitoring"", ""Support portal""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://blockvision.org/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockvision.org/reference/"", ""type"":""external""}]"
blockvision-enterprise-full-archive,BlockVision,Enterprise,Full Archive,Custom,Custom,99.90%,,,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection""]","[""Usage analytics"",""Custom monitoring"", ""Engineering team support""]","[""Global""]",null,null,null,"[{""label"":""Buy"", ""url"":""https://blockvision.org/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockvision.org/reference/"", ""type"":""external""}]"
blockpi-free-full-archive,BlockPi,Free,Full Archive,$0,$0,null,,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""1200 req/min""]","[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Real-time dashboard metrics""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://blockpi.io/pricing/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockpi.io/"", ""type"":""external""}]"
blockpi-pay-as-you-go-full-archive,BlockPi,Pay-as-you-go,Full Archive,$0.01 /  $49 / $299,$0.20 per 1M CU,null,,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]","[""1200 / 60k / 150k req/min""]","[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Real-time dashboard metrics""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://blockpi.io/pricing/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockpi.io/"", ""type"":""external""}]"
blockpi-enterprise-full-archive,BlockPi,Enterprise,Full Archive,Custom,Custom,99.90%,,,FALSE,FALSE,"[""eth"",""net"",""web3"",""debug"",""trace""]",[],"[""DDoS Protection"", ""IP Protection"", ""Privacy preserving""]","[""Advanced analytics via Grafana/Prometheus"",""Custom alerting (Slack/Telegram)"",""Engineering team support""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://blockpi.io/pricing/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.blockpi.io/"", ""type"":""external""}]"
chainbase-free-recent-state,ChainBase,Free,Recent-State,$0,$0,null,,,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""120 req/min""]","[""DDoS Protection"", ""IP Protection"", ""Data Consistency""]","[""Basic monitoring""]","[""Global""]",,,,"[{""label"":""Buy"", ""url"":""https://platform.chainbase.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://docs.chainbase.com/platform/features/api/chain-rpc"", ""type"":""external""}]"
