slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3,,!offer:api3,"[""[Docs](https://docs.api3.org/dapps/)""]",mainnet,,,,,,,,,,,,
chainlink,,!offer:chainlink,,mainnet,,,,,,,,,,,,
redstone,,!offer:redstone,"[""[Docs](https://docs.redstone.finance/)""]",mainnet,,,,,,,,,,,,
