slug,provider,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,actionButtons
flarescan-mainnet,Avascan,mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://mainnet.flarescan.com/)""]"
flarescan-songbird,Avascan,Songbird,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://songbird.flarescan.com/)""]"
flarescan-coston2,Avascan,Coston2,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://coston2.testnet.flarescan.com/)""]"
flarescan-coston,Avascan,Coston,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://coston.testnet.flarescan.com/)""]"
flareexplorer-mainnet,Flare Network,mainnet,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",TRUE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://flare-explorer.flare.network/)""]"
flareexplorer-songbird,Flare Network,Songbird,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://songbird-explorer.flare.network/)""]"
flareexplorer-coston2,Flare Network,Coston2,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://coston2-explorer.flare.network/)""]"
flareexplorer-coston,Flare Network,Coston,Blockscout,"[""Accounts"",""Transactions"",""Blocks"",""Tokens"",""Gas"",""Contracts""]","[""C-Chain Support"",""P-Chain Support"",""Token Tracker"",""Network Metrics""]",FALSE,"[""REST"",""GraphQL"",""JSON-RPC""]","[""TypeScript"",""Node.js""]","[""Address"",""Transaction Hash"",""Block"",""Token""]",TRUE,TRUE,Free,"[""[Explore](https://coston-explorer.flare.network/)""]"
flaresystems-mainnet,Flare Systems,mainnet,Custom,"[""FTSO Data"",""Staking Rewards"",""Epoch Status""]","[""FTSO Monitoring"",""Delegation Tracking""]",TRUE,"[""REST""]","[""TypeScript""]","[""Address"",""Epoch"",""Provider""]",FALSE,FALSE,Free,"[""[Explore](https://flare-systems-explorer.flare.network/)""]"
flaresystems-songbird,Flare Systems,Songbird,Custom,"[""FTSO Data"",""Staking Rewards"",""Epoch Status""]","[""FTSO Monitoring"",""Delegation Tracking""]",FALSE,"[""REST""]","[""TypeScript""]","[""Address"",""Epoch"",""Provider""]",FALSE,FALSE,Free,"[""[Explore](https://songbird-systems-explorer.flare.network/)""]"
