slug,provider,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,actionButtons
ftso-mainnet,FTSO,mainnet,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Flare network security,"[""Solidity""]",,"[""[FLR/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=01464c522f55534400000000000000000000000000)"", ""[SGB/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=015347422f55534400000000000000000000000000)"", ""[Docs](https://dev.flare.network/ftso/getting-started)""]"
ftso-songbird,FTSO,Songbird,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Songbird network security,"[""Solidity""]",,"[""[FLR/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=01464c522f55534400000000000000000000000000)"", ""[SGB/USD](https://flare-systems-explorer.flare.network/price-feeds/ftso?feed=015347422f55534400000000000000000000000000)"", ""[Docs](https://dev.flare.network/ftso/getting-started)""]"
ftso-coston2,FTSO,coston2,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Flare testnet security,"[""Solidity""]",,"[""[Docs](https://dev.flare.network/ftso/getting-started)""]"
ftso-coston,FTSO,coston,Native,TRUE,"[""Price Feed""]","[""Real-time Price Feeds"",""Stake-weighted Randomness""]","[""Decentralized Price Aggregation"",""Reward Sharing""]","[""Cryptocurrency Prices"",""Indices""]",Decentralized,TRUE,Inherits Songbird testnet security,"[""Solidity""]",,"[""[Docs](https://dev.flare.network/ftso/getting-started)""]"
fdc-mainnet,FDC,mainnet,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Flare network security,"[""Solidity""]",,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]"
fdc-songbird,FDC,Songbird,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Songbird network security,"[""Solidity""]",,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]"
fdc-coston2,FDC,coston2,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Flare testnet security,"[""Solidity""]",,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]"
fdc-coston,FDC,coston,Native,TRUE,"[""Cross-Chain Data""]","[""External Data Verification""]","[""Request-Commit-Reveal Protocol"",""Branching Protocol""]","[""Cross-Chain Transactions"",""Web2 API Data"",""IoT Data"",""Identity Proofs""]",Decentralized,TRUE,Inherits Songbird testnet security,"[""Solidity""]",,"[""[Docs](https://dev.flare.network/fdc/getting-started)""]"
