slug,provider,chain,dataSources,hasDashboard,availableApis,price,starred,actionButtons
dune-mainnet,Dune Analytics,mainnet,"[""Transactions"",""Active Users"",""Token Price"",""Tokens"",""Gas Usage"",""Contracts"",""FTSO Data""]",TRUE,,0,FALSE,"[""[Dashboard](https://dune.com/flare/flare-network-overview)""]"
intotheblock-mainnet,Into the Block,mainnet,"[""Total Value Locked"",""Transactions"",""Liquidity"",""Token Performance"",""Active Users"",""Contracts""]",TRUE,,Subscription-based,FALSE,"[""[Dashboard](https://app.intotheblock.com/perspectives/flare_defi_ecosystem)""]"
arkham-mainnet,Arkham Intelligence,mainnet,"[""Transactions"",""Active Users"",""Contracts"",""DApp Interactions""]",TRUE,,Subscription-based,FALSE,"[""[Dashboard](https://intel.arkm.com/explorer/entity/flare-network)""]"
flaresystems-mainnet,Flare Systems,mainnet,"[""FTSO Data"",""Staking Rewards"",""Epoch Status"",""Vote Power"",""Validator Activity""]",TRUE,,0,TRUE,"[""[Dashboard](https://flare-systems-explorer.flare.network/)""]"
flarespace-mainnet,Flare.Space,mainnet,"[""Delegation Metrics"",""Staking Metrics"",""Smart Contracts"",""Tokens"",""Cross-Chain Activity""]",TRUE,,0,TRUE,"[""[Dashboard](https://flare.space/)""]"
flaremetrics-mainnet,Flare Metrics,mainnet,"[""FTSO Data"",""Staking Rewards"",""Vote Power"",""Validator Activity"",""DeFi Metrics""]",TRUE,,0,TRUE,"[""[Dashboard](https://flaremetrics.io/)""]"
flaremetrics-songbird,Flare Metrics,songbird,"[""FTSO Data"",""Staking Rewards"",""Vote Power"",""Validator Activity"",""DeFi Metrics""]",TRUE,,0,TRUE,"[""[Dashboard](https://flaremetrics.io/songbird)""]"
