slug,provider,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,actionButtons
flare-coston-faucet,Flare Network,coston,FALSE,TRUE,,$0,100 CFLR,24h,,TRUE,"[""[Get tokens](https://faucet.flare.network/coston)""]"
flare-coston2-faucet-c2flr,Flare Network,coston2,FALSE,TRUE,,$0,100 C2FLR,24h,,TRUE,"[""[Get tokens](https://faucet.flare.network/coston2)""]"
flare-coston2-faucet-usdt0,Flare Network,coston2,FALSE,TRUE,,$0,10 USDT0,24h,,TRUE,"[""[Get tokens](https://faucet.flare.network/coston2)""]"
flare-coston2-faucet-fxrp,Flare Network,coston2,FALSE,TRUE,,$0,10 FXRP,24h,,TRUE,"[""[Get tokens](https://faucet.flare.network/coston2)""]"
