slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdkLanguages,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockchair-mainnet,,!offer:blockchair,"[""[Explore](https://blockchair.com/bitcoin-cash)""]",mainnet,,,,,,,,,,,
oklink-mainnet,,!offer:oklink,"[""[Explore](https://www.oklink.com/bch)""]",mainnet,,,,,,,,,,,
