slug,provider,offer,network,category,subcategory,tags
binance,Binance,,"all-networks",trading,,"[""CEX"",""spot"",""futures""]"
coinbase,Coinbase,,"all-networks",trading,,"[""CEX"",""spot""]"
kraken,Kraken,,"all-networks",trading,,"[""CEX"",""spot"",""futures""]"
bybit,Bybit,,"all-networks",trading,,"[""CEX"",""futures"",""perpetuals""]"
okx,OKX,,"all-networks",trading,,"[""CEX"",""spot"",""futures"",""options""]"
kucoin,KuCoin,,"all-networks",trading,,"[""CEX"",""spot"",""futures""]"
gateio,Gate.io,,"all-networks",trading,,"[""CEX"",""spot"",""futures""]"
