slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,authenticationMethods,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla,networkSupportBasis
blockdaemon-amoy-free-full-archive,137,,!offer:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/polygon)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockdaemon-amoy-growth-full-archive,137,,!offer:blockdaemon-growth-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockdaemon-amoy-starter-full-archive,137,,!offer:blockdaemon-starter-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-dedicated-recent-state,137,,!offer:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/polygon)"",""[Docs](https://docs.blockdaemon.com/docs/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-free-full-archive,137,,!offer:blockdaemon-free-full-archive,"[""[Website](https://www.blockdaemon.com/protocols/polygon)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-growth-full-archive,137,,!offer:blockdaemon-growth-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockdaemon-mainnet-starter-full-archive,137,,!offer:blockdaemon-starter-full-archive,"[""[Buy](https://www.blockdaemon.com/api/pricing)"",""[Docs](https://docs.blockdaemon.com/reference/polygon-methods-rpc-api)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-basic-full-archive,137,,!offer:blockeden-basic-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-basic-recent-state,137,,!offer:blockeden-basic-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-50-full-archive,137,,!offer:blockeden-enterprise-50-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-50-recent-state,137,,!offer:blockeden-enterprise-50-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-500-full-archive,137,,!offer:blockeden-enterprise-500-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-enterprise-500-recent-state,137,,!offer:blockeden-enterprise-500-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-free-full-archive,137,,!offer:blockeden-free-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-free-recent-state,137,,!offer:blockeden-free-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-pro-full-archive,137,,!offer:blockeden-pro-full-archive,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-amoy-pro-recent-state,137,,!offer:blockeden-pro-recent-state,,,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-full-archive,137,,!offer:blockeden-basic-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,137,,!offer:blockeden-basic-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-full-archive,137,,!offer:blockeden-enterprise-50-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,137,,!offer:blockeden-enterprise-50-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-full-archive,137,,!offer:blockeden-enterprise-500-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-recent-state,137,,!offer:blockeden-enterprise-500-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-full-archive,137,,!offer:blockeden-free-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-recent-state,137,,!offer:blockeden-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-full-archive,137,,!offer:blockeden-pro-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-recent-state,137,,!offer:blockeden-pro-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-elementary-full-archive,137,,!offer:blockpi-elementary-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-elementary-recent-state,137,,!offer:blockpi-elementary-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-free-full-archive,137,,!offer:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-free-recent-state,137,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-pay-as-you-go-full-archive,137,,!offer:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-pay-as-you-go-recent-state,137,,!offer:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-premium-full-archive,137,,!offer:blockpi-premium-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-amoy-premium-recent-state,137,,!offer:blockpi-premium-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-full-archive,137,,!offer:blockpi-dedicated-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-dedicated-recent-state,137,,!offer:blockpi-dedicated-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-full-archive,137,,!offer:blockpi-elementary-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-elementary-recent-state,137,,!offer:blockpi-elementary-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-full-archive,137,,!offer:blockpi-free-full-archive,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-free-recent-state,137,,!offer:blockpi-free-recent-state,"[""[Website](https://blockpi.io/chain/polygon/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-full-archive,137,,!offer:blockpi-pay-as-you-go-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-pay-as-you-go-recent-state,137,,!offer:blockpi-pay-as-you-go-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-full-archive,137,,!offer:blockpi-premium-full-archive,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
blockpi-mainnet-premium-recent-state,137,,!offer:blockpi-premium-recent-state,"[""[Buy](https://blockpi.io/pricing/)"",""[Docs](https://docs.blockpi.io/build/api-reference/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chain-love-mainnet-free-indexer,137,,!offer:chain-love-free-indexer,"[""[Deploy](https://polygon.chain.love/graph)"",""[Docs](https://chain-love.gitbook.io/chain-love-docs/blockchains/polygon)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainbase-mainnet-developer-custom,137,,!offer:chainbase-developer-custom,"[""[Contact](https://platform.chainbase.com/contact)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainbase-mainnet-free-custom,137,,!offer:chainbase-free-custom,"[""[Website](https://platform.chainbase.com/chainNetwork/Polygon)"",""[Docs](https://docs.chainbase.com/platform/features/api/chain-rpc)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainnodes-polgon-pay-as-you-go-archive,137,,!offer:chainnodes-pay-as-you-go-full-archive,,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainnodes-polygon-free-archive,137,,!offer:chainnodes-free-full-archive,"[""[Buy](https://www.chainnodes.org/pricing)"",""[Docs](https://www.chainnodes.org/docs)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-business-full-archive,137,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-business-recent-state,137,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-developer-recent-state,137,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-growth-full-archive,137,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-growth-recent-state,137,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-pro-full-archive,137,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
chainstack-amoy-pro-recent-state,137,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,amoy,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-full-archive,137,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-recent-state,137,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/reference/polygon-getting-started)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,,,,
