slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explorer](https://polygon.blockscout.com/)""]",mainnet,,,,,,,,,,,
oklink-mainnet,,!offer:oklink,"[""[Explorer](https://www.oklink.com/polygon)""]",mainnet,,,,,,,,,,,
okxexplorer-mainnet,,!offer:okx,"[""[Explorer](https://web3.okx.com/explorer/polygon)""]",mainnet,,,,,,,,,,,
polygonscan-amoy,Etherscan,Polygonscan,"[""[Explorer](https://amoy.polygonscan.com/)""]",amoy,Etherscan,"[""Transactions"",""Token transfers"",""Blocks"",""Addresses""]","[""Verified Contracts"",""API access""]",TRUE,"[""REST API""]",,"[""Search"",""Filter""]",TRUE,TRUE,Free,
polygonscan-mainnet,Etherscan,Polygonscan,"[""[Explorer](https://polygonscan.com/)""]",mainnet,Etherscan,"[""Transactions"",""Token transfers"",""Blocks"",""Addresses""]","[""Verified Contracts"",""API access""]",TRUE,"[""REST API""]",,"[""Search"",""Filter"",""Labels""]",TRUE,TRUE,Free,
routescan-free-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-free-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-standard-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-standard-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-standard-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-standard-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-advanced-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-advanced-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-professional-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-professional-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
routescan-pro-plus-mainnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",mainnet,,,,,,,,,,,
routescan-pro-plus-testnet,Routescan,,"[""[Explore](https://routescan.io/)"",""[Buy](https://routescan.io/documentation#api-plans)""]",testnet,,,,,,,,,,,
